time,open,high,low,close
1698902400.0,1.05992,1.05999,1.05983,1.05986
1698902700.0,1.05987,1.05997,1.05979,1.05993
1698903000.0,1.05993,1.05997,1.05989,1.0599
1698903300.0,1.0599,1.05991,1.05961,1.05966
1698903600.0,1.05966,1.05983,1.05966,1.05982
1698903900.0,1.05982,1.05993,1.0598,1.05993
1698904200.0,1.05993,1.05999,1.05988,1.05998
1698904500.0,1.05998,1.05998,1.05989,1.05994
1698904800.0,1.05994,1.05995,1.05976,1.05983
1698905100.0,1.05983,1.05983,1.05974,1.05979
1698905400.0,1.05979,1.05984,1.05967,1.05969
1698905700.0,1.0597,1.0597,1.0596,1.05964
1698906000.0,1.05964,1.05974,1.05961,1.05969
1698906300.0,1.05969,1.05984,1.05967,1.05977
1698906600.0,1.05977,1.05979,1.05944,1.05952
1698906900.0,1.05952,1.05973,1.05946,1.05967
1698907200.0,1.05967,1.05975,1.05962,1.05969
1698907500.0,1.05969,1.05977,1.05959,1.05973
1698907800.0,1.05973,1.0598,1.05966,1.05972
1698908100.0,1.05972,1.05972,1.05953,1.05955
1698908400.0,1.05955,1.05978,1.0595,1.05972
1698908700.0,1.05972,1.05977,1.05962,1.05972
1698909000.0,1.05971,1.06014,1.05971,1.05986
1698909300.0,1.05986,1.0599,1.05949,1.05958
1698909600.0,1.05957,1.05964,1.0595,1.05953
1698909900.0,1.05953,1.05978,1.05952,1.05977
1698910200.0,1.05975,1.05976,1.05958,1.05959
1698910500.0,1.05959,1.05978,1.05953,1.05963
1698910800.0,1.05963,1.0598,1.05948,1.05973
1698911100.0,1.05973,1.05974,1.05956,1.05963
1698911400.0,1.05963,1.05968,1.05953,1.0596
1698911700.0,1.0596,1.0597,1.0595,1.05966
1698912000.0,1.05966,1.0599,1.05962,1.05982
1698912300.0,1.05982,1.05992,1.05964,1.05992
1698912600.0,1.05992,1.06003,1.05981,1.05984
1698912900.0,1.05984,1.05993,1.0598,1.05986
1698913200.0,1.05986,1.05993,1.05972,1.05973
